Date,"Type (compostable, landfill, recyclable)",Total weight (pounds),Container weight (pounds),Net weight (pounds),Note
06/17/2022 09:57 AM,compostable,4.294,1.128,3.166,
06/23/2022 08:20 AM,compostable,5.092,1.128,3.964,
06/30/2022 06:33 AM,compostable,2.162,1.128,1.034,
07/01/2022 04:34 PM,compostable,2.114,1.128,0.986,
07/05/2022 03:59 PM,compostable,3.062,1.128,1.934,
07/08/2022 09:50 AM,compostable,3.902,1.128,2.774,
07/11/2022 06:14 AM,compostable,1.656,1.128,0.528,
07/15/2022 08:58 AM,compostable,4.502,1.128,3.374,
07/18/2022 12:49 PM,compostable,3.066,1.128,1.938,
07/21/2022 07:09 PM,compostable,5.218,1.128,4.09,
07/24/2022 08:34 AM,compostable,1.942,1.128,0.814,
07/29/2022 12:06 PM,compostable,3.002,1.128,1.874,
07/31/2022 10:10 AM,compostable,1.384,1.128,0.256,
08/03/2022 02:56 PM,compostable,5.816,1.128,4.688,
08/07/2022 02:21 PM,compostable,4.554,1.128,3.426,
08/08/2022 10:14 AM,compostable,3.526,1.128,2.398,
08/13/2022 04:35 PM,compostable,7.930,1.128,6.802,
08/25/2022 08:30 AM,compostable,5.056,1.128,3.928,
08/29/2022 06:56 AM,compostable,3.724,1.128,2.596,
09/01/2022 03:48 PM,compostable,5.020,1.128,3.892,
09/07/2022 09:36 AM,compostable,6.794,1.128,5.666,
09/10/2022 11:07 AM,compostable,2.208,1.128,1.08,
09/18/2022 07:03 AM,compostable,4.594,1.128,3.466,
09/21/2022 05:19 PM,compostable,3.166,1.128,2.038,
10/03/2022 06:12 AM,compostable,4.088,1.128,2.96,
10/09/2022 08:07 AM,compostable,4.970,1.128,3.842,
10/10/2022 08:38 AM,compostable,6.640,1.128,5.512,
10/19/2022 06:45 PM,compostable,2.600,1.128,1.472,
10/16/2022 09:29 AM,compostable,4.300,1.128,3.172,
10/26/2022 01:13 PM,compostable,3.614,1.128,2.486,
11/02/2022 02:59 PM,compostable,3.108,1.128,1.98,
10/30/2022 08:46 AM,compostable,2.098,1.128,0.97,
11/07/2022 08:59 AM,compostable,3.430,1.128,2.302,
11/12/2022 08:22 AM,compostable,2.800,1.128,1.672,
11/17/2022 10:01 AM,compostable,6.132,1.128,5.004,
11/23/2022 09:07 AM,compostable,4.342,1.128,3.214,
12/06/2022 09:09 AM,compostable,3.734,1.128,2.606,
12/03/2022 11:17 AM,compostable,4.786,1.128,3.658,
12/09/2022 12:13 PM,compostable,2.606,1.128,1.478,
12/12/2022 11:45 AM,compostable,4.058,1.128,2.93,
12/15/2022 08:51 AM,compostable,3.652,1.128,2.524,
12/17/2022 03:12 PM,compostable,3.092,1.128,1.964,
12/19/2022 08:02 AM,compostable,1.650,1.128,0.522,
12/22/2022 03:56 PM,compostable,3.674,1.128,2.546,
12/31/2022 11:24 AM,compostable,4.854,1.128,3.726,
12/31/2022 11:27 AM,compostable,4.374,1.128,3.246,
